23,9
46,17
69,11
92,15
115,50
138,58
161,66
184,33
207,37
230,99
253,107
276,45
299,55
322,140
345,148
368,156
391,73
414,77
437,189
460,197
483,88
506,95
529,226
552,238
575,246
598,252
621,117
644,279
667,287
690,128
713,10
736,139
759,328
782,336
805,343
828,64
851,369
874,377
897,385
920,74
943,76
966,418
989,426
1012,434
1035,3
1058,14
1081,467
1104,475
1127,211
1150,89
1173,508
1196,516
1219,524
1242,100
1265,101
1288,557
1311,565
1334,247
1357,250
1380,594
1403,606
1426,614
1449,620
1472,120
1495,647
1518,655
1541,124
1564,290
1587,294
1610,696
1633,704
1656,711
1679,312
1702,737
1725,745
1748,753
1771,330
1794,334
1817,786
1840,794
1863,802
1886,352
1909,356
1932,835
1955,843
1978,71
2001,374
2024,876
2047,884
2070,892
2093,392
2116,396
2139,925
2162,933
2185,175
2208,410
2231,962
2254,974
2277,982
2300,988
2323,80
2346,1015
2369,1023
2392,447
2415,194
2438,196
2461,1064
2484,1072
2507,1079
2530,86
2553,1105
2576,1113
2599,1121
2622,38
2645,93
2668,1154
2691,1162
2714,1170
2737,505
2760,221
2783,1203
2806,1211
2829,530
2852,227
2875,1244
2898,1252
2921,1260
2944,547
2967,550
2990,1293
3013,1301
3036,566
3059,569
3082,1330
3105,1342
3128,1350
3151,1356
3174,591
3197,1383
3220,1391
3243,110
3266,609
3289,613
3312,1432
3335,1440
3358,1447
3381,631
3404,1473
3427,1481
3450,1489
3473,649
3496,653
3519,1522
3542,1530
3565,1538
3588,671
3611,675
3634,1571
3657,1579
3680,685
3703,693
3726,1612
3749,1620
3772,1628
3795,130
3818,715
3841,1661
3864,1669
3887,133
3910,314
3933,1698
3956,1710
3979,1718
4002,1724
4025,326
4048,1751
4071,1759
4094,766
4117,137
4140,60
4163,1800
4186,1808
4209,1815
4232,339
4255,1841
4278,1849
4301,1857
4324,803
4347,351
4370,1890
4393,1898
4416,1906
4439,153
4462,65
4485,1939
4508,1947
4531,364
4554,848
4577,1980
4600,1988
4623,1996
4646,866
4669,164
4692,2029
4715,2037
4738,885
4761,888
4784,2066
4807,2078
4830,2086
4853,2092
4876,910
4899,2119
4922,2127
4945,919
4968,928
4991,932
5014,2168
5037,2176
5060,2183
5083,950
5106,2209
5129,2217
5152,2225
5175,968
5198,972
5221,2258
5244,2266
5267,2274
5290,990
5313,994
5336,2307
5359,2315
5382,1004
5405,1008
5428,2348
5451,2356
5474,2364
5497,444
5520,446
5543,2397
5566,2405
5589,450
5612,195
5635,2434
5658,2446
5681,2454
5704,2460
5727,458
5750,2487
5773,2495
5796,1085
5819,469
5842,471
5865,2536
5888,2544
